Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Intensidad depresión;Total
Hombres;Total Nacional;07 Castilla y León;TOTAL;1.015,7
Hombres;Total Nacional;07 Castilla y León;Ninguna;861,0
Hombres;Total Nacional;07 Castilla y León;Leve;95,5
Hombres;Total Nacional;07 Castilla y León;Moderada;26,1
Hombres;Total Nacional;07 Castilla y León;Moderadamente grave;18,1
Hombres;Total Nacional;07 Castilla y León;Grave;0,0
Hombres;Total Nacional;07 Castilla y León;No consta;15,0
Hombres;Total Nacional;08 Castilla - La Mancha;TOTAL;856,5
Hombres;Total Nacional;08 Castilla - La Mancha;Ninguna;806,8
Hombres;Total Nacional;08 Castilla - La Mancha;Leve;36,4
Hombres;Total Nacional;08 Castilla - La Mancha;Moderada;6,5
Hombres;Total Nacional;08 Castilla - La Mancha;Moderadamente grave;2,4
Hombres;Total Nacional;08 Castilla - La Mancha;Grave;0,0
Hombres;Total Nacional;08 Castilla - La Mancha;No consta;4,4
Hombres;Total Nacional;09 Cataluña;TOTAL;3.107,2
Hombres;Total Nacional;09 Cataluña;Ninguna;2.771,1
Hombres;Total Nacional;09 Cataluña;Leve;230,1
Hombres;Total Nacional;09 Cataluña;Moderada;62,4
Hombres;Total Nacional;09 Cataluña;Moderadamente grave;17,4
Hombres;Total Nacional;09 Cataluña;Grave;2,4
Hombres;Total Nacional;09 Cataluña;No consta;23,8
Hombres;Total Nacional;10 Comunitat Valenciana;TOTAL;2.079,7
Hombres;Total Nacional;10 Comunitat Valenciana;Ninguna;1.764,8
Hombres;Total Nacional;10 Comunitat Valenciana;Leve;193,8
Hombres;Total Nacional;10 Comunitat Valenciana;Moderada;62,1
Hombres;Total Nacional;10 Comunitat Valenciana;Moderadamente grave;38,3
Hombres;Total Nacional;10 Comunitat Valenciana;Grave;12,0
Hombres;Total Nacional;10 Comunitat Valenciana;No consta;8,8
Hombres;Total Nacional;11 Extremadura;TOTAL;447,0
Hombres;Total Nacional;11 Extremadura;Ninguna;416,7
Hombres;Total Nacional;11 Extremadura;Leve;27,3
Hombres;Total Nacional;11 Extremadura;Moderada;2,2
Hombres;Total Nacional;11 Extremadura;Moderadamente grave;0,0
Hombres;Total Nacional;11 Extremadura;Grave;0,8
Hombres;Total Nacional;11 Extremadura;No consta;0,0
Hombres;Total Nacional;12 Galicia;TOTAL;1.129,4
Hombres;Total Nacional;12 Galicia;Ninguna;1.007,2
Hombres;Total Nacional;12 Galicia;Leve;75,6
Hombres;Total Nacional;12 Galicia;Moderada;18,4
Hombres;Total Nacional;12 Galicia;Moderadamente grave;10,7
Hombres;Total Nacional;12 Galicia;Grave;1,1
Hombres;Total Nacional;12 Galicia;No consta;16,4
Hombres;Total Nacional;13 Madrid, Comunidad de;TOTAL;2.678,4
Hombres;Total Nacional;13 Madrid, Comunidad de;Ninguna;2.464,7
Hombres;Total Nacional;13 Madrid, Comunidad de;Leve;165,8
Hombres;Total Nacional;13 Madrid, Comunidad de;Moderada;17,0
Hombres;Total Nacional;13 Madrid, Comunidad de;Moderadamente grave;5,5
Hombres;Total Nacional;13 Madrid, Comunidad de;Grave;8,9
Hombres;Total Nacional;13 Madrid, Comunidad de;No consta;16,6
Hombres;Total Nacional;14 Murcia, Región de;TOTAL;617,5
Hombres;Total Nacional;14 Murcia, Región de;Ninguna;557,2
Hombres;Total Nacional;14 Murcia, Región de;Leve;38,0
Hombres;Total Nacional;14 Murcia, Región de;Moderada;11,0
Hombres;Total Nacional;14 Murcia, Región de;Moderadamente grave;5,8
Hombres;Total Nacional;14 Murcia, Región de;Grave;1,7
Hombres;Total Nacional;14 Murcia, Región de;No consta;3,8
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;TOTAL;269,6
